,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy,test_loss,test_accuracy
0,1.027918201,50.69444444,1.59338967,22.56944444,1.068131899,56.59722222,1.263716661,44.79166667,1.397117429,25.69444444,1.328666992,38.19444444,1.259344252,40.27777778,0.969705368,62.84722222,0.96074555,59.375
1,0.844601179,61.45833333,1.756439729,30.20833333,0.781356898,70.13888889,1.199347448,42.70833333,1.401029713,30.20833333,1.301752441,35.06944444,1.16107497,47.22222222,0.854984727,65.625,0.882430083,63.88888889
2,0.812430226,62.84722222,1.42520939,41.31944444,0.93906027,59.02777778,1.272847472,40.625,1.403265155,25.69444444,1.400272078,31.59722222,1.334717401,40.625,0.910387408,60.06944444,0.840379953,62.15277778
3,0.7386763,66.66666667,1.635608085,42.36111111,0.653098963,70.83333333,1.208097471,39.93055556,1.385585851,31.25,1.250227286,43.75,0.784382601,69.44444444,0.765109248,69.09722222,0.658563628,75.34722222
4,0.699119397,68.40277778,1.412043111,36.80555556,0.657926011,75.34722222,1.313128576,39.58333333,1.508466409,25.69444444,1.216443358,47.91666667,0.972908978,57.63888889,0.905262188,56.59722222,0.856041809,59.02777778
5,0.765792399,62.5,1.369550735,40.27777778,0.553887236,81.59722222,1.013640144,53.81944444,1.397254394,31.59722222,1.247453496,43.40277778,1.274155697,48.61111111,1.029687413,52.43055556,0.694159103,72.91666667
6,0.676588479,67.36111111,2.209750435,29.51388889,0.579649762,76.38888889,1.292012079,42.70833333,1.397552593,30.55555556,1.32900296,37.5,1.420269137,50,0.833878919,65.625,0.949519722,60.41666667
7,0.653801612,69.79166667,1.501554769,43.75,0.579711539,79.51388889,1.060604905,56.25,1.343549142,30.55555556,1.274656523,42.01388889,0.7299702,69.44444444,0.829645433,68.05555556,0.717872337,69.09722222
8,0.845474281,59.375,1.646888496,43.75,0.495422082,81.59722222,1.204794178,45.13888889,1.347042405,38.88888889,1.152473003,49.30555556,0.751707486,66.66666667,0.884659189,61.80555556,0.680848807,73.95833333
9,0.694142514,65.625,2.129054424,38.54166667,0.452313169,86.80555556,1.102446871,52.43055556,2.19768904,37.5,1.416104807,42.36111111,0.633141051,71.52777778,0.702430387,71.52777778,0.629452924,73.95833333
10,0.612644306,70.13888889,1.431790973,44.79166667,0.441451432,84.02777778,1.109356379,50.69444444,1.461757928,32.98611111,1.249127685,46.52777778,0.52243323,80.90277778,1.0248625,59.72222222,0.64653462,73.61111111
11,0.580869512,72.56944444,2.480218819,40.27777778,0.641745499,72.91666667,1.236946724,51.38888889,1.490338627,38.19444444,1.220573341,50,0.469464938,83.33333333,0.639380525,78.47222222,0.557509965,78.125
12,0.581435141,75.34722222,1.487964645,45.83333333,0.540587209,80.55555556,0.98027811,60.41666667,1.696953803,43.05555556,1.243495757,46.52777778,0.808211285,67.01388889,0.65526971,76.04166667,0.603339789,79.51388889
13,0.666677491,71.875,1.567924312,39.23611111,0.43710432,84.375,1.160424726,51.73611111,1.484576053,46.875,1.356839263,41.31944444,0.471648038,81.59722222,0.656594543,77.08333333,0.85259352,65.97222222
14,0.572336612,72.56944444,1.233201899,44.79166667,0.52443187,81.94444444,1.246090309,48.26388889,1.516222078,46.52777778,1.219184301,51.04166667,0.721427831,69.44444444,0.857371938,63.19444444,0.578543322,78.125
15,1.004990536,55.20833333,2.186494235,42.70833333,0.451121395,85.06944444,0.942176446,61.11111111,1.4677138,43.75,1.208462684,48.95833333,0.395255928,84.375,0.706385557,68.75,0.741784851,71.875
16,0.561744988,73.61111111,1.515512947,37.15277778,0.513824459,80.20833333,1.018318661,59.02777778,1.610270444,41.31944444,1.286888729,44.79166667,0.376269057,82.98611111,0.666136197,72.22222222,0.86777525,68.40277778
17,0.842592422,59.375,2.233057378,42.01388889,0.426704837,84.02777778,0.966028143,57.29166667,1.419747175,40.27777778,1.152543833,49.30555556,0.703064683,72.91666667,0.736850789,71.875,0.631080264,75
18,0.528493873,75.34722222,2.568508945,48.26388889,0.355600527,88.54166667,1.198112871,55.55555556,1.555558196,36.80555556,1.204557558,49.65277778,0.50583083,77.43055556,0.689115901,72.22222222,0.836753296,65.97222222
19,0.569136645,78.81944444,1.601615841,46.18055556,0.548410531,79.16666667,1.196975677,52.43055556,1.974362151,33.68055556,1.37363017,52.08333333,1.063412778,63.54166667,0.722265556,70.48611111,0.563784035,78.125
20,0.60716473,71.18055556,1.832043782,45.48611111,0.456636586,82.98611111,0.940839008,62.5,1.604527748,39.58333333,1.509322771,43.75,0.802291211,69.09722222,0.728309313,72.22222222,0.947221131,62.5
21,0.491224815,77.43055556,2.098555707,43.40277778,0.519650076,82.63888889,0.894414867,62.84722222,1.31251099,49.65277778,1.210561216,48.61111111,0.313743937,87.84722222,0.78438616,70.48611111,0.788067702,70.48611111
22,0.61802418,72.22222222,1.366911383,48.61111111,0.502620271,80.55555556,1.043951377,57.98611111,1.310576424,47.91666667,1.234268483,49.65277778,0.35547828,86.80555556,0.589238332,78.47222222,0.597639424,76.04166667
23,0.597337316,76.04166667,1.588229891,47.22222222,0.471402857,83.33333333,1.011886919,58.33333333,1.429532078,48.26388889,1.296078026,51.38888889,0.40652545,81.59722222,0.80046729,72.22222222,0.713621064,71.875
24,0.712655324,68.75,1.349312084,45.48611111,0.454907689,83.68055556,1.018325614,57.29166667,1.596720265,38.54166667,1.159967986,52.08333333,0.306079514,87.15277778,0.983064705,69.79166667,0.769757673,68.05555556
25,0.521850557,76.73611111,1.953397721,45.83333333,0.475224492,85.41666667,1.27199716,52.77777778,1.197234154,53.81944444,1.308095735,49.65277778,0.385168261,85.06944444,0.586729566,76.38888889,0.678871046,72.56944444
26,0.544279363,78.81944444,3.244698584,42.70833333,0.61315839,80.55555556,1.06103615,61.11111111,1.427867946,49.65277778,1.213141779,50,0.299088257,89.93055556,0.867989957,64.23611111,0.623760492,73.61111111
27,0.615689118,71.52777778,2.103696225,47.22222222,0.37019379,88.19444444,0.959662862,64.58333333,1.184839394,51.04166667,1.278867439,51.04166667,0.452751266,82.29166667,0.768900689,70.13888889,0.70834466,70.48611111
28,0.477082608,80.90277778,1.369725941,47.56944444,0.470846898,82.63888889,1.20401988,56.94444444,1.025761444,57.98611111,1.227393048,52.43055556,0.391138615,83.33333333,0.704292562,73.95833333,0.637605944,75.69444444
29,0.593028815,75.34722222,1.660921857,46.875,0.374532568,87.5,1.016171051,60.76388889,1.806716659,43.05555556,1.473248457,46.18055556,0.522044042,78.81944444,0.653573492,76.04166667,0.623063109,73.95833333
30,0.493730877,78.81944444,1.937850325,46.18055556,0.432105706,86.11111111,0.947880414,60.06944444,1.40001651,46.52777778,1.318505281,52.77777778,0.464054431,83.68055556,0.810884452,69.79166667,0.60075775,76.38888889
31,0.478799285,79.86111111,1.728948531,47.22222222,0.432115025,85.76388889,1.051152545,56.59722222,1.665826788,54.51388889,1.260872079,54.16666667,0.406682885,85.06944444,0.699178237,73.61111111,0.656603916,75.34722222
32,0.579007024,77.43055556,3.056316454,37.15277778,0.379899093,88.88888889,1.111332451,61.11111111,1.243295852,50.69444444,1.469653485,52.43055556,0.364779892,87.15277778,0.68513332,75.34722222,0.690303149,71.875
33,0.473298541,81.25,2.168635863,47.91666667,0.525122373,80.90277778,1.012256405,62.84722222,1.30933845,50.69444444,1.332494451,52.43055556,0.319228467,86.80555556,0.690180327,77.08333333,0.854502748,68.05555556
34,0.698842312,71.875,2.056543549,43.40277778,0.493439891,85.06944444,1.005498157,61.45833333,2.909689208,34.375,1.290244545,55.20833333,0.275618826,90.27777778,0.583423304,76.04166667,0.530380403,78.125
35,0.481455129,77.77777778,2.245653437,48.26388889,0.501069588,82.29166667,0.907015267,65.625,1.122261475,55.20833333,1.203270337,53.125,0.314816854,88.19444444,0.647827,78.125,0.516819979,81.94444444
36,0.612649647,75.69444444,1.61968743,47.56944444,0.360014868,87.15277778,1.044456489,62.5,1.558057101,46.875,1.240314335,51.73611111,0.303614214,89.58333333,0.616150185,77.08333333,0.594300476,77.08333333
37,0.458661104,81.94444444,2.400438006,44.09722222,0.467055147,85.41666667,1.022988627,60.76388889,1.430088378,46.52777778,1.189849513,53.47222222,0.268186146,90.97222222,0.990840698,64.58333333,0.573110008,78.47222222
38,0.600250458,74.65277778,1.670304608,47.56944444,0.337639634,89.58333333,0.959470552,61.11111111,1.233751905,51.38888889,1.2160075,53.47222222,0.408244488,84.72222222,0.653183784,75.69444444,0.693455533,72.56944444
39,0.531296046,79.51388889,3.064057423,42.36111111,0.485146585,83.68055556,0.947812493,64.93055556,1.153084725,58.33333333,1.397806067,49.30555556,0.4413653,84.02777778,0.59607493,79.86111111,0.608681531,78.125
40,0.454614232,82.63888889,1.687615863,44.79166667,0.312631294,90.27777778,0.894310332,64.58333333,1.455716078,47.22222222,1.439659674,46.875,0.381984865,85.76388889,0.706169472,76.04166667,0.70192282,74.65277778
41,0.447192617,84.72222222,2.006394818,41.66666667,0.443399059,86.45833333,1.390643344,54.51388889,1.217620057,51.04166667,1.525440417,50.34722222,0.363626987,86.11111111,0.879117806,73.26388889,0.598049815,77.08333333
42,0.567187769,78.125,1.967939077,47.91666667,0.36549328,88.19444444,1.006606618,61.45833333,1.591696188,49.65277778,1.245635351,50,0.2850712,89.58333333,0.637683988,77.08333333,0.625003516,75
43,0.403781207,85.06944444,1.639805443,52.43055556,0.391979711,87.5,0.86992832,67.70833333,1.48797402,54.86111111,1.290865264,53.125,0.303460627,88.54166667,0.680951507,77.43055556,0.573764485,76.73611111
44,0.634527551,77.43055556,1.68580007,46.875,0.40729405,88.19444444,0.977729354,62.84722222,1.322548489,51.73611111,1.27992917,52.77777778,0.33995307,87.5,0.705617896,73.26388889,0.65238427,77.08333333
45,0.472387109,79.86111111,2.11455746,47.22222222,0.405588551,87.5,1.099782226,62.84722222,1.045066704,57.63888889,1.370434254,50.69444444,0.400966727,82.98611111,0.631236971,77.08333333,0.803655671,71.18055556
46,0.50172311,81.94444444,2.514708983,44.09722222,0.395866295,86.80555556,0.969504262,62.15277778,1.848387618,52.43055556,1.439210971,52.77777778,0.466799915,84.02777778,0.577908976,76.38888889,0.600332272,76.73611111
47,0.464291384,82.63888889,2.20860769,45.83333333,0.362678152,88.54166667,0.974185627,65.27777778,1.332882003,53.81944444,1.420311526,52.08333333,0.356517305,87.5,0.639647838,76.04166667,0.584023758,79.16666667
48,0.456838928,82.29166667,2.334181885,49.30555556,0.324661621,88.54166667,0.972524325,62.15277778,1.509908689,54.16666667,1.414180135,51.04166667,0.260802984,90.625,0.66119217,76.73611111,0.582591199,78.81944444
49,0.420820103,82.63888889,1.847352094,52.77777778,0.368333033,88.88888889,0.934391032,65.625,1.780421429,48.61111111,1.337009716,54.16666667,0.343260486,87.15277778,0.577454011,77.43055556,0.640472503,75.69444444
50,0.683223566,72.56944444,1.955118103,48.26388889,0.377198068,87.84722222,1.0541159,62.5,1.467653767,55.55555556,1.391815955,54.51388889,0.302658799,87.15277778,0.537443683,80.55555556,0.636341258,77.08333333
51,0.424934761,84.72222222,1.981573795,48.26388889,0.406431614,87.5,0.885104703,67.01388889,1.111003561,61.11111111,1.242803141,54.86111111,0.376540442,84.375,0.540683926,80.20833333,0.621120342,76.73611111
52,0.421307581,84.72222222,2.808269165,40.625,0.333315331,92.01388889,0.923126583,65.97222222,1.096012871,57.63888889,1.358848647,54.16666667,0.3899039,84.72222222,0.576613512,78.47222222,0.58582725,79.16666667
53,0.430411784,83.68055556,2.72785739,44.44444444,0.471264395,87.5,1.042036227,63.19444444,1.398153825,55.55555556,1.37946727,54.86111111,0.296268729,89.58333333,0.635389939,76.38888889,0.67210078,75
54,0.371960027,84.72222222,2.654184598,44.79166667,0.399599272,89.93055556,0.975296227,63.88888889,1.381965499,56.25,1.256584449,53.47222222,0.247959145,90.625,0.549507658,79.16666667,0.575665505,77.77777778
55,0.411430073,83.33333333,1.690245526,51.04166667,0.377143734,89.23611111,0.965747992,67.36111111,1.123835408,60.06944444,1.379810386,54.86111111,0.295667713,90.27777778,0.562142728,78.81944444,0.623046223,75.69444444
56,0.404607908,83.33333333,2.072848156,49.65277778,0.423993865,87.84722222,0.914713803,66.31944444,1.281901004,57.63888889,1.289790996,54.51388889,0.233208026,90.97222222,0.706251615,78.125,0.659475279,74.65277778
57,0.387302673,83.33333333,1.947218469,47.56944444,0.459868004,88.88888889,0.968507454,64.23611111,1.073516274,58.68055556,1.34134618,56.25,0.529153151,82.29166667,0.600682429,76.04166667,0.63435396,77.08333333
58,0.43263135,82.29166667,2.302371114,46.18055556,0.405827783,89.58333333,0.94869926,66.31944444,1.307245468,55.90277778,1.320027569,53.81944444,0.303573948,89.93055556,0.689784275,76.73611111,0.613045773,76.73611111
59,0.496455449,80.20833333,1.577065169,52.08333333,0.380685103,88.88888889,0.895778477,69.09722222,1.657474861,54.51388889,1.279382149,56.25,0.379800453,89.23611111,0.573725924,77.43055556,0.672275249,76.04166667
60,0.536649119,80.90277778,2.094093981,48.95833333,0.397181387,88.19444444,0.946539654,67.36111111,1.266121609,61.11111111,1.344694364,53.125,0.259796367,91.31944444,0.633233184,77.08333333,0.572564395,78.47222222
61,0.484194225,83.33333333,1.968422527,47.91666667,0.377736568,89.58333333,1.070609208,63.19444444,1.419710791,59.02777778,1.28143436,53.47222222,0.35994923,89.23611111,0.508928553,79.51388889,0.612774853,79.86111111
62,0.391695479,85.06944444,2.521386878,46.52777778,0.386722462,88.19444444,0.881511064,69.09722222,1.344985118,54.16666667,1.508111325,53.81944444,0.376039438,87.15277778,0.563074347,79.16666667,0.611125624,77.08333333
63,0.421247451,82.63888889,2.285761902,44.44444444,0.369044887,89.23611111,1.01204527,62.15277778,1.412541874,57.98611111,1.397704593,55.20833333,0.300403456,90.27777778,0.628737461,77.77777778,0.592796361,78.47222222
64,0.503303889,82.29166667,2.048172361,49.30555556,0.367672141,90.97222222,0.963075752,64.23611111,1.26286016,59.02777778,1.322389475,58.33333333,0.392429783,88.19444444,0.575752093,80.20833333,0.572306074,78.81944444
65,0.395962925,85.06944444,2.359475849,46.52777778,0.348066804,89.93055556,0.897151998,68.05555556,1.46313258,57.63888889,1.345316846,54.16666667,0.31073186,90.27777778,0.540959266,78.125,0.584677107,79.16666667
66,0.399974147,85.41666667,2.329017621,49.30555556,0.391206868,90.625,0.978014541,65.625,1.727913204,51.38888889,1.299216067,56.59722222,0.314804223,90.27777778,0.603466685,79.51388889,0.591832633,78.47222222
67,0.456051043,82.98611111,1.811636277,46.875,0.374478904,88.88888889,0.91713665,67.01388889,1.368548416,59.72222222,1.356884571,55.55555556,0.301308535,89.58333333,0.611031157,76.73611111,0.601758341,78.125
68,0.409635342,83.33333333,2.123707286,47.22222222,0.450414141,85.41666667,0.928580417,67.01388889,1.193784601,61.11111111,1.321071035,57.29166667,0.258069641,90.625,0.639865749,79.16666667,0.654479967,77.77777778
69,0.404257408,83.68055556,2.847721857,45.48611111,0.373179288,89.58333333,0.956724522,66.31944444,1.223451973,60.76388889,1.35873201,51.38888889,0.329230822,89.93055556,0.554513193,79.51388889,0.585516795,79.16666667
70,0.423826664,83.33333333,1.608013659,51.73611111,0.408756942,88.19444444,0.898547906,68.05555556,1.201327046,60.41666667,1.455259254,52.77777778,0.2529663,90.97222222,0.607103339,79.51388889,0.640986533,77.08333333
71,0.427691076,82.98611111,1.911393965,51.38888889,0.451619112,86.80555556,1.012839683,65.27777778,1.36791143,60.76388889,1.375168233,53.81944444,0.27497209,90.27777778,0.608604171,78.81944444,0.552772635,79.86111111
72,0.429449593,83.33333333,1.894244686,48.61111111,0.415344226,87.5,0.892212481,68.75,1.257997422,59.02777778,1.351999108,56.59722222,0.306083694,90.27777778,0.564806977,79.51388889,0.562682093,80.90277778
73,0.388216535,84.02777778,2.14760072,48.95833333,0.385582659,90.27777778,0.921170025,67.01388889,1.249041995,61.11111111,1.338229839,55.20833333,0.275825082,90.625,0.573327128,78.81944444,0.629670689,77.08333333
74,0.426251457,83.68055556,1.987566988,48.61111111,0.400857405,88.19444444,0.905489268,67.70833333,1.249868118,61.45833333,1.364375104,53.125,0.308168213,90.27777778,0.579421768,78.47222222,0.637361156,77.08333333
75,0.43704624,82.63888889,2.354877971,46.18055556,0.377837411,89.93055556,1.000418977,64.58333333,1.305214383,61.80555556,1.362410524,55.90277778,0.329631903,89.58333333,0.556651773,80.55555556,0.587296283,78.47222222
76,0.441968491,81.94444444,2.132798917,49.30555556,0.386636676,89.23611111,0.919306403,68.75,1.245706742,61.11111111,1.363030175,55.90277778,0.279009416,90.97222222,0.56333437,79.16666667,0.621640266,77.77777778
77,0.415502705,82.63888889,1.870034869,51.38888889,0.404720763,87.84722222,0.926791205,66.66666667,1.227414472,59.375,1.326984613,57.29166667,0.237733891,92.36111111,0.588396745,79.86111111,0.596672218,79.51388889
78,0.405470155,84.72222222,1.862952847,49.30555556,0.363217046,90.27777778,0.946399115,65.97222222,1.24253939,61.45833333,1.36011517,56.59722222,0.309067145,90.27777778,0.575378338,78.125,0.589691822,80.55555556
79,0.409193874,84.72222222,2.20633555,46.875,0.429491704,87.5,0.914906406,68.40277778,1.322991414,61.11111111,1.348668958,56.25,0.242227143,91.66666667,0.592637424,79.51388889,0.639984011,78.125
80,0.419262784,83.68055556,1.961239234,49.30555556,0.35064901,90.625,0.939344932,67.01388889,1.327567297,59.02777778,1.353210382,55.90277778,0.295401227,90.625,0.539779598,80.20833333,0.632110448,78.125
81,0.405071782,84.375,2.365097932,47.22222222,0.355396551,89.58333333,0.917442779,67.01388889,1.221303631,59.72222222,1.384391168,57.29166667,0.32276129,90.27777778,0.542782761,79.86111111,0.588158503,79.86111111
82,0.402713267,85.41666667,2.093715949,47.56944444,0.398577851,89.23611111,0.91815897,69.09722222,1.191698642,62.5,1.369201665,55.20833333,0.295690107,91.66666667,0.614818115,79.16666667,0.597062184,79.86111111
83,0.39302932,84.72222222,2.061961898,50,0.368565187,89.58333333,0.939863724,66.66666667,1.160330616,63.19444444,1.355573835,56.94444444,0.29346691,90.97222222,0.578252186,79.16666667,0.605148691,78.81944444
84,0.441017398,82.29166667,1.914774739,51.38888889,0.384819865,89.58333333,0.965855326,64.93055556,1.26307165,60.06944444,1.356388568,57.29166667,0.347992664,88.54166667,0.595427823,79.16666667,0.581879427,80.55555556
85,0.414246336,83.68055556,1.992469094,49.30555556,0.380139586,89.58333333,0.968927727,65.625,1.243616983,60.41666667,1.371005947,56.25,0.312861856,89.58333333,0.547729816,78.125,0.617981552,78.125
86,0.413416966,83.33333333,2.028592644,48.26388889,0.368208297,89.93055556,0.975553387,65.97222222,1.209068839,61.11111111,1.356499192,55.55555556,0.254678249,91.66666667,0.566712206,79.16666667,0.637045074,78.47222222
87,0.426252835,83.33333333,2.193301108,46.18055556,0.392821262,89.58333333,0.965803122,66.66666667,1.236993434,62.5,1.360600265,54.86111111,0.293510672,90.27777778,0.559856997,80.20833333,0.639272008,77.77777778
88,0.43423773,82.63888889,2.087447027,48.61111111,0.390158891,89.58333333,0.922722778,68.75,1.264083867,61.11111111,1.426995995,55.55555556,0.269148218,90.97222222,0.569181072,80.55555556,0.586464534,79.51388889
89,0.418866911,82.98611111,2.098723739,50.34722222,0.412968922,88.19444444,0.935611878,69.44444444,1.285949171,61.45833333,1.346333649,56.59722222,0.241930247,90.97222222,0.598582695,80.55555556,0.613535724,79.51388889
90,0.439120558,83.33333333,2.087657101,49.30555556,0.378158771,89.58333333,0.966325502,65.97222222,1.231383202,62.84722222,1.367644332,56.59722222,0.267178742,92.01388889,0.565602146,80.55555556,0.584234775,79.16666667
91,0.400369061,84.02777778,2.102694261,48.95833333,0.410062092,87.84722222,0.933129887,67.70833333,1.298224902,61.11111111,1.355366386,54.51388889,0.278377405,91.31944444,0.584635993,80.55555556,0.618874139,78.81944444
92,0.417080115,82.98611111,1.982870759,47.91666667,0.407943648,88.19444444,0.927623377,67.01388889,1.267132026,62.15277778,1.363496565,55.55555556,0.355808836,88.54166667,0.612756501,78.81944444,0.593600554,79.16666667
93,0.407005183,84.72222222,2.297626743,48.61111111,0.367282785,89.93055556,0.976255988,65.27777778,1.148888846,61.80555556,1.364670051,56.94444444,0.240353251,90.97222222,0.574307114,80.20833333,0.610653024,79.51388889
94,0.402797119,83.33333333,2.257489165,49.30555556,0.379564912,88.88888889,0.926276303,69.09722222,1.219680632,60.41666667,1.36489894,58.33333333,0.303201793,90.27777778,0.560566191,78.125,0.615777633,78.47222222
95,0.415790964,83.68055556,2.267681794,47.91666667,0.374193737,89.58333333,0.929733039,67.36111111,1.255864525,61.80555556,1.368956205,57.29166667,0.280794302,92.01388889,0.560377011,80.20833333,0.648464278,76.38888889
96,0.415132051,83.33333333,2.160246838,46.875,0.398855114,89.58333333,0.956457453,66.66666667,1.266901229,61.80555556,1.358443633,57.29166667,0.261134086,92.01388889,0.581088488,79.86111111,0.606240075,79.16666667
97,0.412434817,84.02777778,2.113851289,47.22222222,0.383691796,89.23611111,0.929215553,68.05555556,1.20825902,62.15277778,1.356283552,56.59722222,0.276881506,91.31944444,0.566857409,78.47222222,0.633067519,78.125
98,0.421093901,83.68055556,2.03739559,48.61111111,0.416460039,87.84722222,0.930464543,68.05555556,1.250728628,61.80555556,1.351801314,54.51388889,0.254555806,90.97222222,0.642302745,78.47222222,0.649277041,77.43055556
,,85.41666667,,52.77777778,,92.01388889,,69.44444444,,63.19444444,,58.33333333,,92.36111111,,80.55555556,,81.94444444
